CUDA available: True
Device name: NVIDIA GeForce RTX 4090
Current device: 0

===== Fold 1/ 5 =====
[Fold 0] Epoch 86/100 | Train Loss: 0.0333 | Val Acc: 0.9427 | Val F1: 0.9427
[Fold 0] Epoch 87/100 | Train Loss: 0.0331 | Val Acc: 0.9425 | Val F1: 0.9432
[Fold 0] Epoch 88/100 | Train Loss: 0.0288 | Val Acc: 0.9423 | Val F1: 0.9431
[Fold 0] Epoch 89/100 | Train Loss: 0.0322 | Val Acc: 0.9427 | Val F1: 0.9429
[Fold 0] Epoch 90/100 | Train Loss: 0.0336 | Val Acc: 0.9438 | Val F1: 0.9435
[Fold 0] Epoch 91/100 | Train Loss: 0.0273 | Val Acc: 0.9423 | Val F1: 0.9423
[Fold 0] Epoch 92/100 | Train Loss: 0.0294 | Val Acc: 0.9392 | Val F1: 0.9403
[Fold 0] Epoch 93/100 | Train Loss: 0.0305 | Val Acc: 0.9427 | Val F1: 0.9430
[Fold 0] Epoch 94/100 | Train Loss: 0.0258 | Val Acc: 0.9421 | Val F1: 0.9428
[Fold 0] Epoch 95/100 | Train Loss: 0.0350 | Val Acc: 0.9434 | Val F1: 0.9429
[Fold 0] Epoch 96/100 | Train Loss: 0.0289 | Val Acc: 0.9396 | Val F1: 0.9388
[Fold 0] Epoch 97/100 | Train Loss: 0.0660 | Val Acc: 0.9432 | Val F1: 0.9436
[Fold 0] Epoch 98/100 | Train Loss: 0.0358 | Val Acc: 0.9441 | Val F1: 0.9440
[Fold 0] Epoch 99/100 | Train Loss: 0.0276 | Val Acc: 0.9434 | Val F1: 0.9431
[Fold 0] Epoch 100/100 | Train Loss: 0.0220 | Val Acc: 0.9427 | Val F1: 0.9427

===== Fold 2/ 5 =====
[Fold 1] Epoch 1/100 | Train Loss: 0.4469 | Val Acc: 0.8928 | Val F1: 0.9015
[Fold 1] Epoch 2/100 | Train Loss: 0.2371 | Val Acc: 0.9042 | Val F1: 0.9114
[Fold 1] Epoch 3/100 | Train Loss: 0.2110 | Val Acc: 0.9238 | Val F1: 0.9285
[Fold 1] Epoch 4/100 | Train Loss: 0.1996 | Val Acc: 0.9254 | Val F1: 0.9297
[Fold 1] Epoch 5/100 | Train Loss: 0.1908 | Val Acc: 0.9289 | Val F1: 0.9330
[Fold 1] Epoch 6/100 | Train Loss: 0.1815 | Val Acc: 0.9374 | Val F1: 0.9401
[Fold 1] Epoch 7/100 | Train Loss: 0.1739 | Val Acc: 0.9398 | Val F1: 0.9420
[Fold 1] Epoch 8/100 | Train Loss: 0.1676 | Val Acc: 0.9396 | Val F1: 0.9422
[Fold 1] Epoch 9/100 | Train Loss: 0.1632 | Val Acc: 0.9321 | Val F1: 0.9353
[Fold 1] Epoch 10/100 | Train Loss: 0.1597 | Val Acc: 0.9396 | Val F1: 0.9412
[Fold 1] Epoch 11/100 | Train Loss: 0.1565 | Val Acc: 0.9343 | Val F1: 0.9377
[Fold 1] Epoch 12/100 | Train Loss: 0.1526 | Val Acc: 0.9392 | Val F1: 0.9421
[Fold 1] Epoch 13/100 | Train Loss: 0.1444 | Val Acc: 0.9392 | Val F1: 0.9410
[Fold 1] Epoch 14/100 | Train Loss: 0.1451 | Val Acc: 0.9427 | Val F1: 0.9435
[Fold 1] Epoch 15/100 | Train Loss: 0.1397 | Val Acc: 0.9390 | Val F1: 0.9413
[Fold 1] Epoch 16/100 | Train Loss: 0.1365 | Val Acc: 0.9401 | Val F1: 0.9411
[Fold 1] Epoch 17/100 | Train Loss: 0.1333 | Val Acc: 0.9436 | Val F1: 0.9446
[Fold 1] Epoch 18/100 | Train Loss: 0.1303 | Val Acc: 0.9383 | Val F1: 0.9381
[Fold 1] Epoch 19/100 | Train Loss: 0.1289 | Val Acc: 0.9416 | Val F1: 0.9429
[Fold 1] Epoch 20/100 | Train Loss: 0.1209 | Val Acc: 0.9432 | Val F1: 0.9445
[Fold 1] Epoch 21/100 | Train Loss: 0.1220 | Val Acc: 0.9418 | Val F1: 0.9436
[Fold 1] Epoch 22/100 | Train Loss: 0.1195 | Val Acc: 0.9434 | Val F1: 0.9447
[Fold 1] Epoch 23/100 | Train Loss: 0.1157 | Val Acc: 0.9432 | Val F1: 0.9446
[Fold 1] Epoch 24/100 | Train Loss: 0.1159 | Val Acc: 0.9441 | Val F1: 0.9452
[Fold 1] Epoch 25/100 | Train Loss: 0.1075 | Val Acc: 0.9436 | Val F1: 0.9449
[Fold 1] Epoch 26/100 | Train Loss: 0.1123 | Val Acc: 0.9407 | Val F1: 0.9419
[Fold 1] Epoch 27/100 | Train Loss: 0.1068 | Val Acc: 0.9425 | Val F1: 0.9433
[Fold 1] Epoch 28/100 | Train Loss: 0.1004 | Val Acc: 0.9414 | Val F1: 0.9431
[Fold 1] Epoch 29/100 | Train Loss: 0.0985 | Val Acc: 0.9334 | Val F1: 0.9326
[Fold 1] Epoch 30/100 | Train Loss: 0.0959 | Val Acc: 0.9430 | Val F1: 0.9441
[Fold 1] Epoch 31/100 | Train Loss: 0.0939 | Val Acc: 0.9421 | Val F1: 0.9439
[Fold 1] Epoch 32/100 | Train Loss: 0.0891 | Val Acc: 0.9421 | Val F1: 0.9433
[Fold 1] Epoch 33/100 | Train Loss: 0.0889 | Val Acc: 0.9414 | Val F1: 0.9429
[Fold 1] Epoch 34/100 | Train Loss: 0.0869 | Val Acc: 0.9412 | Val F1: 0.9423
[Fold 1] Epoch 35/100 | Train Loss: 0.0838 | Val Acc: 0.9425 | Val F1: 0.9441
[Fold 1] Epoch 36/100 | Train Loss: 0.0831 | Val Acc: 0.9383 | Val F1: 0.9405
[Fold 1] Epoch 37/100 | Train Loss: 0.0827 | Val Acc: 0.9439 | Val F1: 0.9456
[Fold 1] Epoch 38/100 | Train Loss: 0.0801 | Val Acc: 0.9439 | Val F1: 0.9456
[Fold 1] Epoch 39/100 | Train Loss: 0.0733 | Val Acc: 0.9432 | Val F1: 0.9446
[Fold 1] Epoch 40/100 | Train Loss: 0.0707 | Val Acc: 0.9423 | Val F1: 0.9438
[Fold 1] Epoch 41/100 | Train Loss: 0.0728 | Val Acc: 0.9430 | Val F1: 0.9444
[Fold 1] Epoch 42/100 | Train Loss: 0.0709 | Val Acc: 0.9367 | Val F1: 0.9395
[Fold 1] Epoch 43/100 | Train Loss: 0.0752 | Val Acc: 0.9394 | Val F1: 0.9404
[Fold 1] Epoch 44/100 | Train Loss: 0.0642 | Val Acc: 0.9376 | Val F1: 0.9392
[Fold 1] Epoch 45/100 | Train Loss: 0.0622 | Val Acc: 0.9414 | Val F1: 0.9425
[Fold 1] Epoch 46/100 | Train Loss: 0.0702 | Val Acc: 0.9380 | Val F1: 0.9379
[Fold 1] Epoch 47/100 | Train Loss: 0.0646 | Val Acc: 0.9405 | Val F1: 0.9417
[Fold 1] Epoch 48/100 | Train Loss: 0.0590 | Val Acc: 0.9418 | Val F1: 0.9432
[Fold 1] Epoch 49/100 | Train Loss: 0.0596 | Val Acc: 0.9389 | Val F1: 0.9408
[Fold 1] Epoch 50/100 | Train Loss: 0.0632 | Val Acc: 0.9365 | Val F1: 0.9381
[Fold 1] Epoch 51/100 | Train Loss: 0.0552 | Val Acc: 0.9403 | Val F1: 0.9414
[Fold 1] Epoch 52/100 | Train Loss: 0.0543 | Val Acc: 0.9434 | Val F1: 0.9445
[Fold 1] Epoch 53/100 | Train Loss: 0.0532 | Val Acc: 0.9394 | Val F1: 0.9406
[Fold 1] Epoch 54/100 | Train Loss: 0.0522 | Val Acc: 0.9399 | Val F1: 0.9412
[Fold 1] Epoch 55/100 | Train Loss: 0.0545 | Val Acc: 0.9429 | Val F1: 0.9437
[Fold 1] Epoch 56/100 | Train Loss: 0.0504 | Val Acc: 0.9387 | Val F1: 0.9404
[Fold 1] Epoch 57/100 | Train Loss: 0.0496 | Val Acc: 0.9367 | Val F1: 0.9388
[Fold 1] Epoch 58/100 | Train Loss: 0.0562 | Val Acc: 0.9380 | Val F1: 0.9399
[Fold 1] Epoch 59/100 | Train Loss: 0.0533 | Val Acc: 0.9369 | Val F1: 0.9391
[Fold 1] Epoch 60/100 | Train Loss: 0.0512 | Val Acc: 0.9439 | Val F1: 0.9449
[Fold 1] Epoch 61/100 | Train Loss: 0.0498 | Val Acc: 0.9403 | Val F1: 0.9421
[Fold 1] Epoch 62/100 | Train Loss: 0.0531 | Val Acc: 0.9425 | Val F1: 0.9438
[Fold 1] Epoch 63/100 | Train Loss: 0.0469 | Val Acc: 0.9289 | Val F1: 0.9275
[Fold 1] Epoch 64/100 | Train Loss: 0.0449 | Val Acc: 0.9412 | Val F1: 0.9418
[Fold 1] Epoch 65/100 | Train Loss: 0.0434 | Val Acc: 0.9412 | Val F1: 0.9424
[Fold 1] Epoch 66/100 | Train Loss: 0.0422 | Val Acc: 0.9378 | Val F1: 0.9394
[Fold 1] Epoch 67/100 | Train Loss: 0.0459 | Val Acc: 0.9354 | Val F1: 0.9373
[Fold 1] Epoch 68/100 | Train Loss: 0.0408 | Val Acc: 0.9399 | Val F1: 0.9404
[Fold 1] Epoch 69/100 | Train Loss: 0.0522 | Val Acc: 0.9450 | Val F1: 0.9466
[Fold 1] Epoch 70/100 | Train Loss: 0.0431 | Val Acc: 0.9403 | Val F1: 0.9411
[Fold 1] Epoch 71/100 | Train Loss: 0.0421 | Val Acc: 0.9394 | Val F1: 0.9411
[Fold 1] Epoch 72/100 | Train Loss: 0.0388 | Val Acc: 0.9436 | Val F1: 0.9454
[Fold 1] Epoch 73/100 | Train Loss: 0.0425 | Val Acc: 0.9409 | Val F1: 0.9427
[Fold 1] Epoch 74/100 | Train Loss: 0.0439 | Val Acc: 0.9412 | Val F1: 0.9430
[Fold 1] Epoch 75/100 | Train Loss: 0.0403 | Val Acc: 0.9403 | Val F1: 0.9412
[Fold 1] Epoch 76/100 | Train Loss: 0.0402 | Val Acc: 0.9416 | Val F1: 0.9429
[Fold 1] Epoch 77/100 | Train Loss: 0.0389 | Val Acc: 0.9383 | Val F1: 0.9398
[Fold 1] Epoch 78/100 | Train Loss: 0.0381 | Val Acc: 0.9403 | Val F1: 0.9423
[Fold 1] Epoch 79/100 | Train Loss: 0.0376 | Val Acc: 0.9419 | Val F1: 0.9424
[Fold 1] Epoch 80/100 | Train Loss: 0.0482 | Val Acc: 0.9385 | Val F1: 0.9396
[Fold 1] Epoch 81/100 | Train Loss: 0.0359 | Val Acc: 0.9392 | Val F1: 0.9398
[Fold 1] Epoch 82/100 | Train Loss: 0.0342 | Val Acc: 0.9378 | Val F1: 0.9392
[Fold 1] Epoch 83/100 | Train Loss: 0.0309 | Val Acc: 0.9405 | Val F1: 0.9410
[Fold 1] Epoch 84/100 | Train Loss: 0.0369 | Val Acc: 0.9419 | Val F1: 0.9436
[Fold 1] Epoch 85/100 | Train Loss: 0.0377 | Val Acc: 0.9418 | Val F1: 0.9428
[Fold 1] Epoch 86/100 | Train Loss: 0.0351 | Val Acc: 0.9414 | Val F1: 0.9425
[Fold 1] Epoch 87/100 | Train Loss: 0.0339 | Val Acc: 0.9412 | Val F1: 0.9423
[Fold 1] Epoch 88/100 | Train Loss: 0.0356 | Val Acc: 0.9398 | Val F1: 0.9413
